method,action,modality,detector,far_at_frr5
abl_noshot_adv,pinch,imu_only,authconformer,0.942500
abl_noshot_adv,pinch,imu_only,behaveformer_stdat,0.932000
abl_noshot_adv,pinch,imu_only,hmog_style_rf,0.675750
abl_noshot_adv,pinch,imu_only,hmog_style_svm,0.887000
abl_noshot_adv,pinch,imu_only,paper_svm,0.877500
abl_noshot_adv,pinch,imu_only,paper_xgboost,0.685500
abl_noshot_adv,scroll,imu_only,authconformer,0.568500
abl_noshot_adv,scroll,imu_only,behaveformer_stdat,0.686500
abl_noshot_adv,scroll,imu_only,hmog_style_rf,0.598250
abl_noshot_adv,scroll,imu_only,hmog_style_svm,0.846000
abl_noshot_adv,scroll,imu_only,paper_svm,0.836500
abl_noshot_adv,scroll,imu_only,paper_xgboost,0.576750
abl_noshot_adv,swipe,imu_only,authconformer,0.830250
abl_noshot_adv,swipe,imu_only,behaveformer_stdat,0.846250
abl_noshot_adv,swipe,imu_only,hmog_style_rf,0.700750
abl_noshot_adv,swipe,imu_only,hmog_style_svm,0.872750
abl_noshot_adv,swipe,imu_only,paper_svm,0.843000
abl_noshot_adv,swipe,imu_only,paper_xgboost,0.648500
abl_noshot_adv,tap,imu_only,authconformer,0.777500
abl_noshot_adv,tap,imu_only,behaveformer_stdat,0.855000
abl_noshot_adv,tap,imu_only,hmog_style_rf,0.747000
abl_noshot_adv,tap,imu_only,hmog_style_svm,0.849250
abl_noshot_adv,tap,imu_only,paper_svm,0.868250
abl_noshot_adv,tap,imu_only,paper_xgboost,0.747750
abl_fewshot_nonadv,pinch,imu_only,authconformer,0.959750
abl_fewshot_nonadv,pinch,imu_only,behaveformer_stdat,0.938500
abl_fewshot_nonadv,pinch,imu_only,hmog_style_rf,0.719250
abl_fewshot_nonadv,pinch,imu_only,hmog_style_svm,0.885250
abl_fewshot_nonadv,pinch,imu_only,paper_svm,0.898750
abl_fewshot_nonadv,pinch,imu_only,paper_xgboost,0.727500
abl_fewshot_nonadv,scroll,imu_only,authconformer,0.555750
abl_fewshot_nonadv,scroll,imu_only,behaveformer_stdat,0.591000
abl_fewshot_nonadv,scroll,imu_only,hmog_style_rf,0.629000
abl_fewshot_nonadv,scroll,imu_only,hmog_style_svm,0.844500
abl_fewshot_nonadv,scroll,imu_only,paper_svm,0.827500
abl_fewshot_nonadv,scroll,imu_only,paper_xgboost,0.566250
abl_fewshot_nonadv,swipe,imu_only,authconformer,0.878000
abl_fewshot_nonadv,swipe,imu_only,behaveformer_stdat,0.854500
abl_fewshot_nonadv,swipe,imu_only,hmog_style_rf,0.736750
abl_fewshot_nonadv,swipe,imu_only,hmog_style_svm,0.897250
abl_fewshot_nonadv,swipe,imu_only,paper_svm,0.875250
abl_fewshot_nonadv,swipe,imu_only,paper_xgboost,0.667000
abl_fewshot_nonadv,tap,imu_only,authconformer,0.804750
abl_fewshot_nonadv,tap,imu_only,behaveformer_stdat,0.916000
abl_fewshot_nonadv,tap,imu_only,hmog_style_rf,0.850250
abl_fewshot_nonadv,tap,imu_only,hmog_style_svm,0.872500
abl_fewshot_nonadv,tap,imu_only,paper_svm,0.911000
abl_fewshot_nonadv,tap,imu_only,paper_xgboost,0.833000
abl_krefs1,pinch,imu_only,authconformer,0.945000
abl_krefs1,pinch,imu_only,behaveformer_stdat,0.915500
abl_krefs1,pinch,imu_only,hmog_style_rf,0.745000
abl_krefs1,pinch,imu_only,hmog_style_svm,0.899750
abl_krefs1,pinch,imu_only,paper_svm,0.894500
abl_krefs1,pinch,imu_only,paper_xgboost,0.681250
abl_krefs1,scroll,imu_only,authconformer,0.580500
abl_krefs1,scroll,imu_only,behaveformer_stdat,0.885000
abl_krefs1,scroll,imu_only,hmog_style_rf,0.670250
abl_krefs1,scroll,imu_only,hmog_style_svm,0.810750
abl_krefs1,scroll,imu_only,paper_svm,0.800500
abl_krefs1,scroll,imu_only,paper_xgboost,0.637750
abl_krefs1,swipe,imu_only,authconformer,0.782500
abl_krefs1,swipe,imu_only,behaveformer_stdat,0.826500
abl_krefs1,swipe,imu_only,hmog_style_rf,0.715000
abl_krefs1,swipe,imu_only,hmog_style_svm,0.785500
abl_krefs1,swipe,imu_only,paper_svm,0.785750
abl_krefs1,swipe,imu_only,paper_xgboost,0.639250
abl_krefs1,tap,imu_only,authconformer,0.780250
abl_krefs1,tap,imu_only,behaveformer_stdat,0.934500
abl_krefs1,tap,imu_only,hmog_style_rf,0.796500
abl_krefs1,tap,imu_only,hmog_style_svm,0.906000
abl_krefs1,tap,imu_only,paper_svm,0.916000
abl_krefs1,tap,imu_only,paper_xgboost,0.809500
abl_krefs3,pinch,imu_only,authconformer,0.954250
abl_krefs3,pinch,imu_only,behaveformer_stdat,0.954250
abl_krefs3,pinch,imu_only,hmog_style_rf,0.795000
abl_krefs3,pinch,imu_only,hmog_style_svm,0.909750
abl_krefs3,pinch,imu_only,paper_svm,0.914000
abl_krefs3,pinch,imu_only,paper_xgboost,0.756500
abl_krefs3,scroll,imu_only,authconformer,0.576000
abl_krefs3,scroll,imu_only,behaveformer_stdat,0.694500
abl_krefs3,scroll,imu_only,hmog_style_rf,0.721750
abl_krefs3,scroll,imu_only,hmog_style_svm,0.828500
abl_krefs3,scroll,imu_only,paper_svm,0.821750
abl_krefs3,scroll,imu_only,paper_xgboost,0.660500
abl_krefs3,swipe,imu_only,authconformer,0.852000
abl_krefs3,swipe,imu_only,behaveformer_stdat,0.847500
abl_krefs3,swipe,imu_only,hmog_style_rf,0.817250
abl_krefs3,swipe,imu_only,hmog_style_svm,0.891500
abl_krefs3,swipe,imu_only,paper_svm,0.881750
abl_krefs3,swipe,imu_only,paper_xgboost,0.755000
abl_krefs3,tap,imu_only,authconformer,0.952750
abl_krefs3,tap,imu_only,behaveformer_stdat,0.850500
abl_krefs3,tap,imu_only,hmog_style_rf,0.890500
abl_krefs3,tap,imu_only,hmog_style_svm,0.901750
abl_krefs3,tap,imu_only,paper_svm,0.907500
abl_krefs3,tap,imu_only,paper_xgboost,0.832000
abl_krefs8,pinch,imu_only,authconformer,0.948750
abl_krefs8,pinch,imu_only,behaveformer_stdat,0.910000
abl_krefs8,pinch,imu_only,hmog_style_rf,0.805000
abl_krefs8,pinch,imu_only,hmog_style_svm,0.901750
abl_krefs8,pinch,imu_only,paper_svm,0.928000
abl_krefs8,pinch,imu_only,paper_xgboost,0.767000
abl_krefs8,scroll,imu_only,authconformer,0.548250
abl_krefs8,scroll,imu_only,behaveformer_stdat,0.773500
abl_krefs8,scroll,imu_only,hmog_style_rf,0.690750
abl_krefs8,scroll,imu_only,hmog_style_svm,0.809250
abl_krefs8,scroll,imu_only,paper_svm,0.788000
abl_krefs8,scroll,imu_only,paper_xgboost,0.643500
abl_krefs8,swipe,imu_only,authconformer,0.873250
abl_krefs8,swipe,imu_only,behaveformer_stdat,0.850750
abl_krefs8,swipe,imu_only,hmog_style_rf,0.831000
abl_krefs8,swipe,imu_only,hmog_style_svm,0.894500
abl_krefs8,swipe,imu_only,paper_svm,0.906750
abl_krefs8,swipe,imu_only,paper_xgboost,0.806500
abl_krefs8,tap,imu_only,authconformer,0.887750
abl_krefs8,tap,imu_only,behaveformer_stdat,0.864500
abl_krefs8,tap,imu_only,hmog_style_rf,0.906000
abl_krefs8,tap,imu_only,hmog_style_svm,0.869500
abl_krefs8,tap,imu_only,paper_svm,0.890250
abl_krefs8,tap,imu_only,paper_xgboost,0.834000
abl_a7_weighted_sum,scroll,imu_only,authconformer,0.512750
abl_a7_weighted_sum,scroll,imu_only,behaveformer_stdat,0.906250
abl_a7_weighted_sum,scroll,imu_only,hmog_style_rf,0.552750
abl_a7_weighted_sum,scroll,imu_only,hmog_style_svm,0.901750
abl_a7_weighted_sum,scroll,imu_only,paper_svm,0.805250
abl_a7_weighted_sum,scroll,imu_only,paper_xgboost,0.546250
abl_a7_weighted_sum,swipe,imu_only,authconformer,0.755000
abl_a7_weighted_sum,swipe,imu_only,behaveformer_stdat,0.811250
abl_a7_weighted_sum,swipe,imu_only,hmog_style_rf,0.609500
abl_a7_weighted_sum,swipe,imu_only,hmog_style_svm,0.900750
abl_a7_weighted_sum,swipe,imu_only,paper_svm,0.843000
abl_a7_weighted_sum,swipe,imu_only,paper_xgboost,0.668500
abl_a8_no_feature,scroll,imu_only,authconformer,0.556250
abl_a8_no_feature,scroll,imu_only,behaveformer_stdat,0.627250
abl_a8_no_feature,scroll,imu_only,hmog_style_rf,0.551250
abl_a8_no_feature,scroll,imu_only,hmog_style_svm,0.846000
abl_a8_no_feature,scroll,imu_only,paper_svm,0.754500
abl_a8_no_feature,scroll,imu_only,paper_xgboost,0.493500
abl_a8_no_feature,swipe,imu_only,authconformer,0.678250
abl_a8_no_feature,swipe,imu_only,behaveformer_stdat,0.781250
abl_a8_no_feature,swipe,imu_only,hmog_style_rf,0.577500
abl_a8_no_feature,swipe,imu_only,hmog_style_svm,0.883250
abl_a8_no_feature,swipe,imu_only,paper_svm,0.834500
abl_a8_no_feature,swipe,imu_only,paper_xgboost,0.603000
abl_a9_no_set,scroll,imu_only,authconformer,0.503000
abl_a9_no_set,scroll,imu_only,behaveformer_stdat,0.757000
abl_a9_no_set,scroll,imu_only,hmog_style_rf,0.563250
abl_a9_no_set,scroll,imu_only,hmog_style_svm,0.843500
abl_a9_no_set,scroll,imu_only,paper_svm,0.760000
abl_a9_no_set,scroll,imu_only,paper_xgboost,0.495250
abl_a9_no_set,swipe,imu_only,authconformer,0.750000
abl_a9_no_set,swipe,imu_only,behaveformer_stdat,0.847000
abl_a9_no_set,swipe,imu_only,hmog_style_rf,0.683000
abl_a9_no_set,swipe,imu_only,hmog_style_svm,0.891000
abl_a9_no_set,swipe,imu_only,paper_svm,0.854250
abl_a9_no_set,swipe,imu_only,paper_xgboost,0.646000
abl_a10_no_waveform,scroll,imu_only,authconformer,0.496000
abl_a10_no_waveform,scroll,imu_only,behaveformer_stdat,0.764750
abl_a10_no_waveform,scroll,imu_only,hmog_style_rf,0.545750
abl_a10_no_waveform,scroll,imu_only,hmog_style_svm,0.865000
abl_a10_no_waveform,scroll,imu_only,paper_svm,0.772000
abl_a10_no_waveform,scroll,imu_only,paper_xgboost,0.495250
