method,action,modality,detector,far_at_frr5,eer_test
diffts_trajectory,keystroke,trajectory_xytime,authconformer,0.070250,0.058481
diffts_trajectory,keystroke,trajectory_xytime,behaveformer_stdat,0.355500,0.176455
diffts_trajectory,keystroke,trajectory_xytime,hmog_style_rf,0.137500,0.081519
diffts_trajectory,keystroke,trajectory_xytime,hmog_style_svm,0.376000,0.161013
diffts_trajectory,keystroke,trajectory_xytime,paper_svm,0.203500,0.107090
diffts_trajectory,keystroke,trajectory_xytime,paper_xgboost,0.061500,0.051266
diffts_trajectory,pinch,trajectory_xytime,authconformer,0.342250,0.117029
diffts_trajectory,pinch,trajectory_xytime,behaveformer_stdat,0.879750,0.340710
diffts_trajectory,pinch,trajectory_xytime,hmog_style_rf,0.396750,0.171043
diffts_trajectory,pinch,trajectory_xytime,hmog_style_svm,0.781750,0.279195
diffts_trajectory,pinch,trajectory_xytime,paper_svm,0.719500,0.325081
diffts_trajectory,pinch,trajectory_xytime,paper_xgboost,0.369250,0.176544
diffts_trajectory,scroll,trajectory_xytime,authconformer,0.124750,0.060500
diffts_trajectory,scroll,trajectory_xytime,behaveformer_stdat,0.112000,0.071000
diffts_trajectory,scroll,trajectory_xytime,hmog_style_rf,0.334250,0.171000
diffts_trajectory,scroll,trajectory_xytime,hmog_style_svm,0.492000,0.245875
diffts_trajectory,scroll,trajectory_xytime,paper_svm,0.615000,0.255625
diffts_trajectory,scroll,trajectory_xytime,paper_xgboost,0.388000,0.172500
diffts_trajectory,swipe,trajectory_xytime,authconformer,0.027500,0.047375
diffts_trajectory,swipe,trajectory_xytime,behaveformer_stdat,0.014250,0.040000
diffts_trajectory,swipe,trajectory_xytime,hmog_style_rf,0.389000,0.162000
diffts_trajectory,swipe,trajectory_xytime,hmog_style_svm,0.495250,0.178500
diffts_trajectory,swipe,trajectory_xytime,paper_svm,0.608250,0.254000
diffts_trajectory,swipe,trajectory_xytime,paper_xgboost,0.474750,0.187000
diffts_trajectory,tap,trajectory_xytime,authconformer,0.870750,0.409769
diffts_trajectory,tap,trajectory_xytime,behaveformer_stdat,0.923750,0.409644
diffts_trajectory,tap,trajectory_xytime,hmog_style_rf,0.801250,0.360067
diffts_trajectory,tap,trajectory_xytime,hmog_style_svm,0.804250,0.399971
diffts_trajectory,tap,trajectory_xytime,paper_svm,0.848250,0.412709
diffts_trajectory,tap,trajectory_xytime,paper_xgboost,0.785500,0.371451
diffts_imu,keystroke,imu_only,authconformer,0.027000,0.024051
diffts_imu,keystroke,imu_only,behaveformer_stdat,0.112250,0.091772
diffts_imu,keystroke,imu_only,hmog_style_rf,0.034250,0.025571
diffts_imu,keystroke,imu_only,hmog_style_svm,0.033750,0.031266
diffts_imu,keystroke,imu_only,paper_svm,0.066500,0.045064
diffts_imu,keystroke,imu_only,paper_xgboost,0.008500,0.013292
diffts_imu,pinch,imu_only,authconformer,0.373250,0.133533
diffts_imu,pinch,imu_only,behaveformer_stdat,0.465500,0.140160
diffts_imu,pinch,imu_only,hmog_style_rf,0.145000,0.094524
diffts_imu,pinch,imu_only,hmog_style_svm,0.478750,0.139035
diffts_imu,pinch,imu_only,paper_svm,0.592750,0.175044
diffts_imu,pinch,imu_only,paper_xgboost,0.288500,0.142661
diffts_imu,scroll,imu_only,authconformer,0.313500,0.108000
diffts_imu,scroll,imu_only,behaveformer_stdat,0.527750,0.150000
diffts_imu,scroll,imu_only,hmog_style_rf,0.164750,0.103500
diffts_imu,scroll,imu_only,hmog_style_svm,0.384000,0.128500
diffts_imu,scroll,imu_only,paper_svm,0.508750,0.184000
diffts_imu,scroll,imu_only,paper_xgboost,0.226000,0.121875
diffts_imu,swipe,imu_only,authconformer,0.221500,0.098500
diffts_imu,swipe,imu_only,behaveformer_stdat,0.224250,0.113000
diffts_imu,swipe,imu_only,hmog_style_rf,0.136250,0.093500
diffts_imu,swipe,imu_only,hmog_style_svm,0.433500,0.140625
diffts_imu,swipe,imu_only,paper_svm,0.438750,0.140000
diffts_imu,swipe,imu_only,paper_xgboost,0.199750,0.107000
diffts_imu,tap,imu_only,authconformer,0.797000,0.236167
diffts_imu,tap,imu_only,behaveformer_stdat,0.671000,0.222449
diffts_imu,tap,imu_only,hmog_style_rf,0.373000,0.155485
diffts_imu,tap,imu_only,hmog_style_svm,0.497500,0.195034
diffts_imu,tap,imu_only,paper_svm,0.581250,0.210336
diffts_imu,tap,imu_only,paper_xgboost,0.418250,0.156465
diffts_both,keystroke,imu_trajectory_xytime,authconformer,0.008250,0.015824
diffts_both,keystroke,imu_trajectory_xytime,behaveformer_stdat,0.068250,0.036962
diffts_both,keystroke,imu_trajectory_xytime,hmog_style_rf,0.013750,0.014811
diffts_both,keystroke,imu_trajectory_xytime,hmog_style_svm,0.019750,0.028228
diffts_both,keystroke,imu_trajectory_xytime,paper_svm,0.014500,0.019494
diffts_both,keystroke,imu_trajectory_xytime,paper_xgboost,0.001500,0.005696
diffts_both,pinch,imu_trajectory_xytime,authconformer,0.485000,0.142161
diffts_both,pinch,imu_trajectory_xytime,behaveformer_stdat,0.815500,0.231683
diffts_both,pinch,imu_trajectory_xytime,hmog_style_rf,0.122500,0.065141
diffts_both,pinch,imu_trajectory_xytime,hmog_style_svm,0.391500,0.128157
diffts_both,pinch,imu_trajectory_xytime,paper_svm,0.510750,0.155039
diffts_both,pinch,imu_trajectory_xytime,paper_xgboost,0.201750,0.096524
diffts_both,scroll,imu_trajectory_xytime,authconformer,0.266000,0.097000
diffts_both,scroll,imu_trajectory_xytime,behaveformer_stdat,0.235000,0.103500
diffts_both,scroll,imu_trajectory_xytime,hmog_style_rf,0.108750,0.078000
diffts_both,scroll,imu_trajectory_xytime,hmog_style_svm,0.215250,0.106000
diffts_both,scroll,imu_trajectory_xytime,paper_svm,0.350000,0.143000
diffts_both,scroll,imu_trajectory_xytime,paper_xgboost,0.158250,0.090500
diffts_both,swipe,imu_trajectory_xytime,authconformer,0.186750,0.087500
diffts_both,swipe,imu_trajectory_xytime,behaveformer_stdat,0.050250,0.046000
diffts_both,swipe,imu_trajectory_xytime,hmog_style_rf,0.110500,0.070875
diffts_both,swipe,imu_trajectory_xytime,hmog_style_svm,0.142250,0.087000
diffts_both,swipe,imu_trajectory_xytime,paper_svm,0.207750,0.103000
diffts_both,swipe,imu_trajectory_xytime,paper_xgboost,0.134500,0.082500
diffts_both,tap,imu_trajectory_xytime,authconformer,0.763750,0.221720
diffts_both,tap,imu_trajectory_xytime,behaveformer_stdat,0.679250,0.217800
diffts_both,tap,imu_trajectory_xytime,hmog_style_rf,0.341000,0.137368
diffts_both,tap,imu_trajectory_xytime,hmog_style_svm,0.427500,0.173727
diffts_both,tap,imu_trajectory_xytime,paper_svm,0.520250,0.196014
diffts_both,tap,imu_trajectory_xytime,paper_xgboost,0.423750,0.146792
csdi_unconditional,keystroke,imu_only,authconformer,0.010000,0.024051
csdi_unconditional,keystroke,imu_only,behaveformer_stdat,0.258250,0.095949
csdi_unconditional,keystroke,imu_only,hmog_style_rf,0.013000,0.025696
csdi_unconditional,keystroke,imu_only,hmog_style_svm,0.147750,0.063038
csdi_unconditional,keystroke,imu_only,paper_svm,0.111250,0.055317
csdi_unconditional,keystroke,imu_only,paper_xgboost,0.007000,0.020000
csdi_unconditional,pinch,imu_only,authconformer,0.283500,0.073518
csdi_unconditional,pinch,imu_only,behaveformer_stdat,0.399250,0.092148
csdi_unconditional,pinch,imu_only,hmog_style_rf,0.173250,0.078520
csdi_unconditional,pinch,imu_only,hmog_style_svm,0.586000,0.184546
csdi_unconditional,pinch,imu_only,paper_svm,0.453250,0.140660
csdi_unconditional,pinch,imu_only,paper_xgboost,0.142000,0.078020
csdi_unconditional,scroll,imu_only,authconformer,0.076250,0.037375
csdi_unconditional,scroll,imu_only,behaveformer_stdat,0.111000,0.052000
csdi_unconditional,scroll,imu_only,hmog_style_rf,0.037500,0.045375
csdi_unconditional,scroll,imu_only,hmog_style_svm,0.218000,0.102500
csdi_unconditional,scroll,imu_only,paper_svm,0.176250,0.075875
csdi_unconditional,scroll,imu_only,paper_xgboost,0.030250,0.036875
csdi_unconditional,swipe,imu_only,authconformer,0.146500,0.050000
csdi_unconditional,swipe,imu_only,behaveformer_stdat,0.161750,0.066500
csdi_unconditional,swipe,imu_only,hmog_style_rf,0.173250,0.079500
csdi_unconditional,swipe,imu_only,hmog_style_svm,0.645250,0.212875
csdi_unconditional,swipe,imu_only,paper_svm,0.485750,0.141375
csdi_unconditional,swipe,imu_only,paper_xgboost,0.139750,0.061875
csdi_unconditional,tap,imu_only,authconformer,0.570000,0.172747
csdi_unconditional,tap,imu_only,behaveformer_stdat,0.792250,0.191844
csdi_unconditional,tap,imu_only,hmog_style_rf,0.522250,0.181191
csdi_unconditional,tap,imu_only,hmog_style_svm,0.735750,0.286724
csdi_unconditional,tap,imu_only,paper_svm,0.669750,0.264813
csdi_unconditional,tap,imu_only,paper_xgboost,0.476250,0.155360
imagentime,keystroke,imu_only,authconformer,0.311000,0.126583
imagentime,keystroke,imu_only,behaveformer_stdat,0.816000,0.381519
imagentime,keystroke,imu_only,hmog_style_rf,0.319750,0.120000
imagentime,keystroke,imu_only,hmog_style_svm,0.754250,0.250128
imagentime,keystroke,imu_only,paper_svm,0.792500,0.288734
imagentime,keystroke,imu_only,paper_xgboost,0.206750,0.096455
