action,modality,detector,far_at_frr5
keystroke,imu_only,authconformer,0.913750
keystroke,imu_only,behaveformer_stdat,0.949500
keystroke,imu_only,hmog_style_rf,0.819250
keystroke,imu_only,hmog_style_svm,0.711750
keystroke,imu_only,paper_svm,0.811750
keystroke,imu_only,paper_xgboost,0.791750
keystroke,imu_trajectory_xytime,authconformer,0.555750
keystroke,imu_trajectory_xytime,behaveformer_stdat,0.961250
keystroke,imu_trajectory_xytime,hmog_style_rf,0.822250
keystroke,imu_trajectory_xytime,hmog_style_svm,0.738750
keystroke,imu_trajectory_xytime,paper_svm,0.795750
keystroke,imu_trajectory_xytime,paper_xgboost,0.663000
keystroke,trajectory_xytime,authconformer,0.883500
keystroke,trajectory_xytime,behaveformer_stdat,0.946000
keystroke,trajectory_xytime,hmog_style_rf,0.948500
keystroke,trajectory_xytime,hmog_style_svm,0.944250
keystroke,trajectory_xytime,paper_svm,0.836750
keystroke,trajectory_xytime,paper_xgboost,0.742000
pinch,imu_only,authconformer,0.942500
pinch,imu_only,behaveformer_stdat,0.936500
pinch,imu_only,hmog_style_rf,0.821250
pinch,imu_only,hmog_style_svm,0.909000
pinch,imu_only,paper_svm,0.918500
pinch,imu_only,paper_xgboost,0.771750
pinch,imu_trajectory_xytime,authconformer,0.897500
pinch,imu_trajectory_xytime,behaveformer_stdat,0.861000
pinch,imu_trajectory_xytime,hmog_style_rf,0.542000
pinch,imu_trajectory_xytime,hmog_style_svm,0.695500
pinch,imu_trajectory_xytime,paper_svm,0.806000
pinch,imu_trajectory_xytime,paper_xgboost,0.523000
pinch,trajectory_xytime,authconformer,0.934750
pinch,trajectory_xytime,behaveformer_stdat,0.840500
pinch,trajectory_xytime,hmog_style_rf,0.544500
pinch,trajectory_xytime,hmog_style_svm,0.705000
pinch,trajectory_xytime,paper_svm,0.789750
pinch,trajectory_xytime,paper_xgboost,0.559000
scroll,imu_only,authconformer,0.628250
scroll,imu_only,behaveformer_stdat,0.706750
scroll,imu_only,hmog_style_rf,0.706500
scroll,imu_only,hmog_style_svm,0.828250
scroll,imu_only,paper_svm,0.806000
scroll,imu_only,paper_xgboost,0.680000
scroll,imu_trajectory_xytime,authconformer,0.522500
scroll,imu_trajectory_xytime,behaveformer_stdat,0.728250
scroll,imu_trajectory_xytime,hmog_style_rf,0.484000
scroll,imu_trajectory_xytime,hmog_style_svm,0.708750
scroll,imu_trajectory_xytime,paper_svm,0.715000
scroll,imu_trajectory_xytime,paper_xgboost,0.482250
scroll,trajectory_xytime,authconformer,0.573250
scroll,trajectory_xytime,behaveformer_stdat,0.754000
scroll,trajectory_xytime,hmog_style_rf,0.615250
scroll,trajectory_xytime,hmog_style_svm,0.759500
scroll,trajectory_xytime,paper_svm,0.765500
scroll,trajectory_xytime,paper_xgboost,0.642250
swipe,imu_only,authconformer,0.870500
swipe,imu_only,behaveformer_stdat,0.843750
swipe,imu_only,hmog_style_rf,0.836500
swipe,imu_only,hmog_style_svm,0.890500
swipe,imu_only,paper_svm,0.897750
swipe,imu_only,paper_xgboost,0.770000
swipe,imu_trajectory_xytime,authconformer,0.598000
swipe,imu_trajectory_xytime,behaveformer_stdat,0.676250
swipe,imu_trajectory_xytime,hmog_style_rf,0.557250
swipe,imu_trajectory_xytime,hmog_style_svm,0.746500
swipe,imu_trajectory_xytime,paper_svm,0.740500
swipe,imu_trajectory_xytime,paper_xgboost,0.597750
swipe,trajectory_xytime,authconformer,0.501750
swipe,trajectory_xytime,behaveformer_stdat,0.769000
swipe,trajectory_xytime,hmog_style_rf,0.626750
swipe,trajectory_xytime,hmog_style_svm,0.742000
swipe,trajectory_xytime,paper_svm,0.790000
swipe,trajectory_xytime,paper_xgboost,0.706750
tap,imu_only,authconformer,0.821250
tap,imu_only,behaveformer_stdat,0.904250
tap,imu_only,hmog_style_rf,0.921750
tap,imu_only,hmog_style_svm,0.884000
tap,imu_only,paper_svm,0.902000
tap,imu_only,paper_xgboost,0.854250
tap,imu_trajectory_xytime,authconformer,0.774000
tap,imu_trajectory_xytime,behaveformer_stdat,0.743750
tap,imu_trajectory_xytime,hmog_style_rf,0.835000
tap,imu_trajectory_xytime,hmog_style_svm,0.886000
tap,imu_trajectory_xytime,paper_svm,0.883250
tap,imu_trajectory_xytime,paper_xgboost,0.797250
tap,trajectory_xytime,authconformer,0.903500
tap,trajectory_xytime,behaveformer_stdat,0.915750
tap,trajectory_xytime,hmog_style_rf,0.866250
tap,trajectory_xytime,hmog_style_svm,0.907250
tap,trajectory_xytime,paper_svm,0.896250
tap,trajectory_xytime,paper_xgboost,0.914750
